atleta_id,apelido,rodada_id,ano,clube_id,clube,posicao_id,posicao,jogos_num,pontos_num,media_num,preco_num_anterior,preco_num,variacao_num,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,status_id,status
88065,Jorge,17,2015,262,Flamengo,2,lat,8,2.7,5.64,4.48,4.58,-0.1,0,2,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,NA
88065,Jorge,18,2015,262,Flamengo,2,lat,9,2.9,5.34,4.8800000000000008,4.73,0.15,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,NA
88065,Jorge,19,2015,262,Flamengo,2,lat,10,-1.8,4.63,3.03,3.88,-0.85,1,4,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,NA
88065,Jorge,20,2015,262,Flamengo,2,lat,10,0,4.63,3.88,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
88065,Jorge,21,2015,262,Flamengo,2,lat,11,9.1,5.04,7.7,5.79,1.91,0,4,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,NA
88065,Jorge,22,2015,262,Flamengo,2,lat,11,0,5.04,5.79,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
88065,Jorge,23,2015,262,Flamengo,2,lat,11,0,5.04,5.79,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
88065,Jorge,24,2015,262,Flamengo,2,lat,12,6.8,5.19,5.6700000000000008,5.73,-0.06,0,2,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,NA
88065,Jorge,25,2015,262,Flamengo,2,lat,13,4.3,5.12,5.11,5.42,-0.31,1,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,NA
88065,Jorge,27,2015,262,Flamengo,2,lat,14,0,4.96,5.27,5.27,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
88065,Jorge,28,2015,262,Flamengo,2,lat,15,-1.3,4.54,3.83,4.55,-0.72,1,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,NA
88065,Jorge,29,2015,262,Flamengo,2,lat,16,4.2,4.52,6.55,5.55,1,1,0,0,0,1,0,0,0,0,1,4,0,1,0,1,0,0,0,0,NA
88065,Jorge,30,2015,262,Flamengo,2,lat,16,0,4.52,5.55,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
88065,Jorge,31,2015,262,Flamengo,2,lat,17,1.7,4.35,4.59,5.07,-0.48,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
88065,Jorge,32,2015,262,Flamengo,2,lat,18,1.4,4.19,5.03,5.05,-0.02,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,NA
